sample_index,timestamp_brainflow,label,C3_uV,C4_uV,Cz_uV
342,1786485455.9329934,RE,-43.1,-23.0,-18.2
343,1786485455.933004,RE,-12.4,-25.5,-20.0
344,1786485455.9330142,RE,-1.1,-21.6,-14.2
345,1786485455.933025,RE,4.1,0.0,12.2
346,1786485455.9330351,RE,-22.3,0.5,11.4
347,1786485455.933046,RE,-27.1,-22.7,-15.7
348,1786485455.9330564,RE,-6.4,-26.6,-20.2
349,1786485455.933067,RE,-13.9,-10.9,-0.1
350,1786485455.933077,RE,-27.3,-9.2,2.4
351,1786485455.933088,RE,-16.8,-15.7,-4.5
352,1786485455.9330983,RE,-15.1,-32.3,-15.3
353,1786485455.9331088,RE,-28.4,-33.5,-10.3
354,1786485455.9331193,RE,-44.8,-20.1,-5.5
355,1786485455.9331295,RE,-49.7,-33.6,-21.0
356,1786485455.93314,RE,-20.7,-44.4,-23.2
357,1786485455.9331503,RE,-24.2,-33.0,-8.2
358,1786485455.9331608,RE,-45.1,-21.0,0.8
359,1786485455.9331713,RE,-41.4,-19.5,-4.0
360,1786485456.412276,RE,-28.0,-37.1,-25.8
361,1786485456.412315,RE,-24.1,-31.6,-16.7
362,1786485456.4123363,RE,-44.3,-21.4,-8.1
363,1786485456.4123583,RE,-44.9,-21.5,-9.8
364,1786485456.4123805,RE,-23.5,-31.0,-21.5
365,1786485456.4124029,RE,-10.3,-28.2,-13.8
366,1786485456.4124253,RE,-27.8,-14.3,4.5
367,1786485456.4124472,RE,-49.9,-22.1,-7.4
368,1786485456.4124691,RE,-29.5,-36.8,-21.7
369,1786485456.4124854,RE,1.0,-33.7,-9.7
370,1786485456.4124942,RE,-26.0,-19.5,4.4
371,1786485456.412503,RE,-41.6,-19.7,-3.1
372,1786485456.412511,RE,-29.6,-25.7,-16.0
373,1786485456.4125197,RE,-30.6,-36.1,-27.6
374,1786485456.412528,RE,-21.5,-21.4,-10.3
375,1786485456.4125366,RE,-40.2,-12.2,0.3
376,1786485456.412545,RE,-38.9,-27.9,-17.0
377,1786485456.4125533,RE,-12.4,-32.7,-18.6
378,1786485456.412562,RE,-16.7,-18.9,-0.6
379,1786485456.4125705,RE,-29.0,-11.9,10.2
380,1786485456.4125793,RE,-37.1,-27.2,-5.2
381,1786485456.412588,RE,-25.3,-41.5,-22.0
382,1786485456.4125965,RE,-25.6,-33.5,-14.8
383,1786485456.4126053,RE,-35.5,-24.4,-4.7
384,1786485456.412614,RE,-31.6,-25.4,-6.4
385,1786485456.4126225,RE,-12.5,-36.4,-12.7
386,1786485456.4126308,RE,-5.8,-29.9,-3.4
387,1786485456.4126391,RE,-15.7,-13.6,14.3
388,1786485456.4126475,RE,-19.9,-15.5,3.8
389,1786485456.412656,RE,-7.9,-32.3,-18.1
390,1786485456.412665,RE,13.2,-25.9,-6.4
391,1786485456.4126732,RE,-9.3,-11.9,6.6
392,1786485456.4126816,RE,-23.9,-13.6,-5.1
393,1786485456.41269,RE,-10.1,-24.8,-17.5
394,1786485456.4126985,RE,3.1,-26.6,-14.8
395,1786485456.4127069,RE,-11.2,-18.0,-3.5
396,1786485456.4127157,RE,-28.4,-21.2,-8.0
397,1786485456.412724,RE,-8.5,-20.2,-15.6
398,1786485456.4127324,RE,6.6,-21.9,-22.4
399,1786485456.4127407,RE,9.0,-6.2,1.5
400,1786485456.412749,RE,-14.8,-0.9,5.3
401,1786485456.4127572,RE,-24.9,-22.1,-21.9
402,1786485456.4127655,RE,-7.6,-34.0,-34.3
403,1786485456.4127743,RE,-12.3,-25.1,-22.9
404,1786485456.412783,RE,-16.8,-14.2,-16.4
405,1786485456.4127915,RE,-9.3,-9.5,-18.0
406,1786485456.4128,RE,8.3,-20.6,-30.8
407,1786485456.4128084,RE,3.3,-15.7,-23.8
408,1786485456.4128168,RE,-7.7,-1.6,-5.7
409,1786485456.412825,RE,-21.7,-4.5,-13.3
410,1786485456.4128337,RE,-3.6,-22.5,-33.4
411,1786485456.4128425,RE,7.6,-19.7,-26.6
412,1786485456.4128506,RE,-3.5,0.4,-5.1
413,1786485456.412859,RE,-14.0,-1.6,-5.5
414,1786485456.4128673,RE,-7.3,-24.3,-30.5
415,1786485456.412876,RE,7.7,-22.7,-32.8
416,1786485456.4128845,RE,7.5,-2.6,-10.1
417,1786485456.4128928,RE,-11.0,-4.1,-13.0
418,1786485456.4129012,RE,-7.8,-16.4,-32.5
419,1786485456.4129095,RE,1.0,-22.7,-34.1
420,1786485456.412918,RE,9.6,-2.1,-1.8
421,1786485456.412927,RE,2.0,4.3,5.8
422,1786485456.4129348,RE,6.6,-7.7,-10.3
423,1786485456.412946,RE,19.9,-12.7,-12.0
424,1786485456.4129565,RE,10.6,-0.4,1.5
425,1786485456.4129672,RE,3.0,2.9,9.8
426,1786485456.4129791,RE,7.5,-1.5,-1.1
427,1786485456.4129934,RE,14.9,-9.9,-13.6
428,1786485456.41301,RE,5.9,-4.9,-2.9
429,1786485456.413028,RE,12.4,14.7,20.2
430,1786485456.413041,RE,0.0,4.5,8.5
431,1786485456.4130533,RE,20.3,-7.9,-9.5
432,1786485456.4130623,RE,41.6,11.3,9.7
433,1786485456.4130712,RE,9.7,15.4,17.9
434,1786485456.41308,RE,-3.7,7.2,7.8
435,1786485456.4130883,RE,13.0,-9.4,-9.5
436,1786485456.413097,RE,22.3,-3.2,1.2
437,1786485456.4131055,RE,21.0,14.0,18.7
438,1786485456.413114,RE,-1.4,6.8,9.5
439,1786485456.4131224,RE,9.1,-9.5,-12.8
440,1786485456.4131308,RE,33.4,-7.3,-4.0
441,1786485456.413139,RE,27.1,15.2,21.9
